file_name,NRE,HOMO,LUMO,Dipole_mom,Num_waters,chg_chg,elec5,elec10,SCF_E,delE_dft
INDO_red_0_cutoff_7.5.inp.out,395.80558483122326,-0.3267,0.114,16.6988,51.0,-1307.4806569295,-42.64483874011784,14.854811838243814,-5518.765059692,0.3169710761003443
INDO_red_100_cutoff_7.5.inp.out,397.620286721493,-0.2854,0.1522,29.3909,57.0,-1305.4437004214,-49.50356700896981,4.501200621861521,-5969.8296273615,0.2771363542997278
INDO_red_101_cutoff_7.5.inp.out,395.0559826994941,-0.303,0.1388,39.9558,55.0,-1306.3800510938,-77.61311594104596,-33.862847465011264,-5819.7668844335,0.2955404613994687
INDO_red_102_cutoff_7.5.inp.out,399.0241836753944,-0.3091,0.1421,43.3633,55.0,-1306.4129199015,-10.266425956388408,-1.4303670104295771,-5819.8026632828,0.2991955523993965
INDO_red_103_cutoff_7.5.inp.out,397.5360096046588,-0.3066,0.1382,39.1099,54.0,-1306.362125345,17.241959828460697,-55.6778735043676,-5744.2247412641,0.3033922485001312
INDO_red_104_cutoff_7.5.inp.out,397.0360511238323,-0.3045,0.1439,38.8709,52.0,-1306.8725560833,-97.90788753741076,-133.53381238329115,-5593.722239906,0.2942006111998125
INDO_red_105_cutoff_7.5.inp.out,395.9231235700643,-0.3006,0.1344,29.834,53.0,-1306.7434414657,3.919805850010466,-43.9676987555148,-5669.0322147215,0.2911461410003539
INDO_red_106_cutoff_7.5.inp.out,396.4858078464947,-0.2825,0.1672,31.5312,54.0,-1306.5438683378,-103.18889359493484,-97.6784575529344,-5744.363572226,0.2793865778994586
INDO_red_107_cutoff_7.5.inp.out,397.9720970490326,-0.2768,0.1626,29.1312,54.0,-1306.423072323,-7.73140724670976,4.556885810797593,-5744.2514213675,0.2730490132998966
INDO_red_108_cutoff_7.5.inp.out,397.25459316619,-0.2801,0.142,37.1092,57.0,-1305.6106035137,-2.7228251595561455,-4.281655274497286,-5970.0498579217,0.2784781826994731
INDO_red_109_cutoff_7.5.inp.out,395.0071010978532,-0.2943,0.1259,39.8938,59.0,-1305.0242264959,-108.81441547837908,-16.73839368296206,-6120.5664040928,0.2913016342999981
INDO_red_10_cutoff_7.5.inp.out,394.5671319466952,-0.2784,0.151,28.0723,51.0,-1307.5743297998,185.43797572632272,131.179028161944,-5518.7832735671,0.2721661960003985
INDO_red_110_cutoff_7.5.inp.out,400.1630470583992,-0.277,0.1752,45.9468,58.0,-1305.4112564544,42.950788294846106,53.56658492878461,-6045.4268401297,0.2705698817999291
INDO_red_111_cutoff_7.5.inp.out,395.78649501674806,-0.2695,0.1667,41.2025,58.0,-1305.5600217889,41.85019263272401,-8.315534418298526,-6045.5609141236,0.2678294574006941
INDO_red_112_cutoff_7.5.inp.out,395.3196979093637,-0.2772,0.1668,31.3178,54.0,-1307.0885958904,9.017784403533346,-2.0841155801973597,-5745.0223625969,0.2708748168997772
INDO_red_113_cutoff_7.5.inp.out,396.062824351751,-0.2852,0.1577,31.0385,50.0,-1308.1304808873,-31.16976082038493,-11.941071859595684,-5443.8360649516,0.279300047700417
INDO_red_114_cutoff_7.5.inp.out,398.6740606276176,-0.2616,0.1599,28.6035,53.0,-1307.7368471906,26.278857838245095,-1.4503695733378958,-5670.1271618155,0.2583243935996506
INDO_red_115_cutoff_7.5.inp.out,399.82357970772296,-0.2747,0.1644,29.5027,56.0,-1306.6231899219,67.60009919551977,118.94367260964805,-5895.4931043763,0.272817686099188
INDO_red_116_cutoff_7.5.inp.out,391.2476587949496,-0.2805,0.1501,29.9703,58.0,-1304.7016712838,6.030817909290382,82.3980937315044,-6044.7045212351,0.2792418438002642
INDO_red_117_cutoff_7.5.inp.out,394.2364482616753,-0.296,0.1537,29.7493,57.0,-1305.7387340184,26.11626914744103,-35.96728334127511,-5970.2560401872,0.2843822674994953
INDO_red_118_cutoff_7.5.inp.out,400.5082668556157,-0.3006,0.159,42.8064,57.0,-1305.6778573648,-5.7578585396362385,-26.693249298006485,-5970.1423432114,0.2880504047998329
INDO_red_119_cutoff_7.5.inp.out,397.07301672025983,-0.2839,0.1609,38.0906,56.0,-1306.3442045827,-89.71915225726337,-100.6349283197703,-5895.305689912,0.2761954046000028
INDO_red_11_cutoff_7.5.inp.out,396.0696811321039,-0.2872,0.16,34.1118,55.0,-1306.3281267071,-7.847697523784652,96.14970460890626,-5819.6101220563,0.2842098358996736
INDO_red_120_cutoff_7.5.inp.out,396.05775365262485,-0.2997,0.1426,24.8112,54.0,-1306.4386484295,-46.99596150065834,-63.7033219751881,-5744.2711872072,0.2918138615004864
INDO_red_121_cutoff_7.5.inp.out,397.186494126705,-0.2935,0.1542,20.5335,51.0,-1307.4196533389,25.836810999612236,-19.22346394684384,-5518.6484992346,0.2860252280006534
INDO_red_122_cutoff_7.5.inp.out,396.17523039065,-0.2856,0.1515,14.6093,54.0,-1306.7447530398,-15.657074019484028,-23.55552151488596,-5744.6134452941,0.2788936340002692
INDO_red_123_cutoff_7.5.inp.out,396.1002578797055,-0.2692,0.1608,12.5135,51.0,-1307.4108097335,1.0841557303739155,-25.057298283023652,-5518.6416085656,0.2695407843002613
INDO_red_124_cutoff_7.5.inp.out,398.7423757127631,-0.2948,0.1511,11.3221,52.0,-1307.1782876863,2.3599559446139797,-38.500813984807394,-5594.0145847793,0.2874567157005003
INDO_red_125_cutoff_7.5.inp.out,395.8923951585869,-0.2794,0.1508,16.3729,55.0,-1306.079390346,-10.151641491404408,-5.829066261540702,-5819.4376564911,0.2766266320995783
INDO_red_126_cutoff_7.5.inp.out,396.6289671948556,-0.2906,0.1573,20.0514,54.0,-1306.3108735342,54.47089288083499,-26.10865585868149,-5744.1878167672,0.2836954111999148
INDO_red_127_cutoff_7.5.inp.out,396.2113366069091,-0.2913,0.1406,12.7416,53.0,-1306.5702332273,-50.514634416241535,13.164719274996118,-5668.8889792235,0.2880767955994088
INDO_red_128_cutoff_7.5.inp.out,396.202069662429,-0.2882,0.161,5.6413,55.0,-1306.0529213937,24.71536926340331,-7.370154485955726,-5819.432253454,0.2819097391002287
INDO_red_129_cutoff_7.5.inp.out,395.792419099333,-0.3057,0.1191,19.5309,57.0,-1305.4780321224,-41.07767260268578,23.180603254581833,-5969.9287555916,0.2997781035001026
INDO_red_12_cutoff_7.5.inp.out,396.5778622293501,-0.2871,0.1395,23.3222,54.0,-1306.7172656109,33.652340775741614,58.49447097257079,-5744.5285941794,0.2847533793001275
INDO_red_130_cutoff_7.5.inp.out,395.88776127396704,-0.3266,0.1146,16.7089,51.0,-1307.4828911072,-43.73756684334689,15.339842460878742,-5518.7675639599,0.316900350099786
INDO_red_131_cutoff_7.5.inp.out,395.6637247812344,-0.2803,0.1518,20.7971,54.0,-1306.4910692243,26.965307022538436,27.6739898153976,-5744.3488719346,0.2741230263000034
INDO_red_132_cutoff_7.5.inp.out,393.7887467897796,-0.2957,0.1453,29.7354,50.0,-1307.8489488548,18.75600694795762,-0.9948712083436718,-5443.5866084896,0.2895519089997833
INDO_red_133_cutoff_7.5.inp.out,398.95810392262774,-0.2846,0.1585,19.879,51.0,-1307.2874536645,-14.254605983637449,6.967810208574739,-5518.5926856819,0.2795257910001965
INDO_red_134_cutoff_7.5.inp.out,398.3434873781869,-0.3115,0.1435,31.8663,50.0,-1307.8396100352,22.92436279533951,38.13686475412935,-5443.58449813,0.2990517883999928
INDO_red_135_cutoff_7.5.inp.out,396.66967088294854,-0.2585,0.1677,25.4698,52.0,-1307.505159677,105.5952810291742,33.526107391304066,-5594.3381221052,0.2559396793994892
INDO_red_136_cutoff_7.5.inp.out,394.009336962073,-0.2914,0.1358,21.8619,52.0,-1307.1659537667,11.420310538081916,7.074279803540049,-5594.0121957734,0.2846275274996515
INDO_red_137_cutoff_7.5.inp.out,396.89125451562506,-0.2763,0.1739,29.0975,53.0,-1306.9815353169,246.24315449545583,38.9111766308821,-5669.379944524,0.2722453852002218
INDO_red_138_cutoff_7.5.inp.out,398.1589945654211,-0.2899,0.1462,24.0323,51.0,-1307.6962471973,100.59951381294351,4.786385036129471,-5518.9741380602,0.2836539922000156
INDO_red_139_cutoff_7.5.inp.out,397.0930576780885,-0.2922,0.1447,25.5772,51.0,-1307.3854161433,94.20425658697198,8.667360355006497,-5518.7018382024,0.2885677136000595
INDO_red_13_cutoff_7.5.inp.out,398.114198347387,-0.2882,0.1427,32.1377,57.0,-1305.5863131823,17.419069660781634,-24.881510707869896,-5970.0050849503,0.2854866393008706
INDO_red_140_cutoff_7.5.inp.out,394.2776727762021,-0.2865,0.135,23.8785,54.0,-1306.5328197509,-0.7441171030913848,6.971923921529716,-5744.3569576527,0.281502777100286
INDO_red_141_cutoff_7.5.inp.out,392.3992367666453,-0.2857,0.1564,25.7569,54.0,-1306.4280829734,83.63195380502916,52.11513409127666,-5744.3079793449,0.2835701517997222
INDO_red_142_cutoff_7.5.inp.out,399.401176763546,-0.3012,0.1366,22.0302,51.0,-1307.2390695284,103.09252947077216,45.00404157202572,-5518.5747171152,0.292865411499406
INDO_red_143_cutoff_7.5.inp.out,395.92345123296633,-0.303,0.1288,21.0758,55.0,-1306.0067496591,84.35624395194394,46.91915818667378,-5819.4217629379,0.2942490508994524
INDO_red_144_cutoff_7.5.inp.out,391.7245432499656,-0.2933,0.1417,29.0109,53.0,-1306.6595432877,24.478600456292163,37.86030776694191,-5668.998677023,0.288942508999753
INDO_red_145_cutoff_7.5.inp.out,396.90320036303297,-0.2842,0.1543,22.1646,52.0,-1306.8773750329,102.7136869072835,46.569565319871856,-5593.6582809948,0.2765634179004337
INDO_red_146_cutoff_7.5.inp.out,394.3512561551991,-0.2963,0.1338,25.0001,50.0,-1307.7321067295,77.89978048917911,41.29133041982911,-5443.4665184011,0.2899121886002831
INDO_red_147_cutoff_7.5.inp.out,396.85594557442454,-0.2909,0.1486,21.2191,47.0,-1309.1496851389,66.29250163359957,39.07289030868347,-5218.3171598844,0.2846668475003753
INDO_red_148_cutoff_7.5.inp.out,398.4948778531146,-0.28,0.1574,11.9661,45.0,-1309.5825103464,60.59304162672436,9.798957747181152,-5067.5970551503,0.2763046738000412
INDO_red_149_cutoff_7.5.inp.out,395.0129410690454,-0.2829,0.1471,18.145,53.0,-1306.9358913026,35.03317665477538,14.2718061666214,-5669.2516721311,0.2820672315992851
INDO_red_14_cutoff_7.5.inp.out,395.64099022016785,-0.3114,0.1243,28.5676,56.0,-1305.2534128775,-51.5412043505204,-75.59372304970236,-5894.1492338588,0.3041066316000069
INDO_red_150_cutoff_7.5.inp.out,396.7631951216241,-0.2977,0.1428,17.118,54.0,-1306.481103924,-6.596070888081397,5.0001807313458375,-5744.3579336428,0.2902066228998592
INDO_red_151_cutoff_7.5.inp.out,397.2737947700252,-0.264,0.1528,16.9239,56.0,-1305.9254932838,33.2651922069288,-5.477367990669542,-5894.7808030492,0.2622463867992337
INDO_red_152_cutoff_7.5.inp.out,398.2070044016236,-0.2789,0.1512,13.087,57.0,-1305.3222018993,20.17180629941228,5.263910173421377,-5969.7377938567,0.2701326734004396
INDO_red_153_cutoff_7.5.inp.out,393.6138523256355,-0.282,0.1483,21.3977,57.0,-1305.8074893378,21.363204829704245,-18.333503852364583,-5970.2309030113,0.2791423563003263
INDO_red_154_cutoff_7.5.inp.out,395.2298814113139,-0.2841,0.1488,10.0,57.0,-1305.7300858799,51.48251058481531,23.750248405136844,-5970.1592834241,0.278353499899822
